Participant: Bear_03
Actions: 6;
1. Action:;SingleTargetAttack (CAction)
;1.1. Consideration:; AbilityScore
;1.2. Consideration:; TargetHealth
;1.3. Consideration:; DistanceTo
;1.4. Consideration:; OwnResource
;1.5. Consideration:; OwnHealth
;1.6. Consideration:; LineOfSight
;1.7. Consideration:; TargetDamageReduction

2. Action:;DefendSelf (CAction)
;2.1. Consideration:; Cooldown
;2.2. Consideration:; EntitiesInRadius
;2.3. Consideration:; OwnHealth

3. Action:;AreaOfEffectDebuff (CAction)
;3.1. Consideration:; LineOfSight
;3.2. Consideration:; StatChangeValue
;3.3. Consideration:; OwnResource
;3.4. Consideration:; EntitiesInRadius
;3.5. Consideration:; OwnHealth

4. Action:;Move (CAction)
;4.1. Consideration:; DistanceTo

5. Action:;TryToAvoidAoe (CAction)
;5.1. Consideration:; OwnHealth
;5.2. Consideration:; LineOfSight
;5.3. Consideration:; AffectedArea
;5.4. Consideration:; TargetedBy

6. Action:;Interrupt (CAction)
;6.1. Consideration:; PreparationTime
;6.2. Consideration:; OwnHealth
;6.3. Consideration:; LineOfSight
;6.4. Consideration:; GaugeProgress
;6.5. Consideration:; DistanceTo


Decision Making of Participant "Bear_03" started;Gauge Position: 598.9891;;Time: 14.07.2020 18:16:01
Score-Calculation of Action: SingleTargetAttack;-> Bear_03;using;"Combo Attack";on;Flamma.
PreparationTime:;Consideration Score:; 0.85; PreparationTime: 5; Input: 5; ResponseCurve: 0.85;
OwnHealth:;Consideration Score:; 0.9017986; ownHealth (%): 1; Input: 1; ResponseCurve: 0.9017986;
LineOfSight:;Consideration Score:; 0; isInLineOfSight: False; Input: 0; ResponseCurve: 0;
GaugeProgress:;Consideration Score:; 0.2320339; targetGaugePosition: 629.2239; Input: 0.6292239; ResponseCurve: 0.2320339;
DistanceTo:;Consideration Score:; 0.5100032; distance: 33.44022; Input: 1; ResponseCurve: 0.5100032;
Action Score (Compensation: "None"):;0

Score-Calculation of Action: Interrupt;-> Bear_03;using;"Paw Swipe";on;Terra.
PreparationTime:;Consideration Score:; 0.85; PreparationTime: 5; Input: 5; ResponseCurve: 0.85;
OwnHealth:;Consideration Score:; 0.9017986; ownHealth (%): 1; Input: 1; ResponseCurve: 0.9017986;
LineOfSight:;Consideration Score:; 1; isInLineOfSight: True; Input: 1; ResponseCurve: 1;
GaugeProgress:;Consideration Score:; 0.005861768; targetGaugePosition: 479.4799; Input: 0.4794799; ResponseCurve: 0.005861768;
DistanceTo:;Consideration Score:; 0.5208501; distance: 24.46128; Input: 0.9730639; ResponseCurve: 0.5208501;
Action Score (Compensation: "None"):;0.002340291

Score-Calculation of Action: Interrupt;-> Bear_03;using;"Paw Swipe";on;Aura.
PreparationTime:;Consideration Score:; 0.85; PreparationTime: 5; Input: 5; ResponseCurve: 0.85;
OwnHealth:;Consideration Score:; 0.9017986; ownHealth (%): 1; Input: 1; ResponseCurve: 0.9017986;
LineOfSight:;Consideration Score:; 0; isInLineOfSight: False; Input: 0; ResponseCurve: 0;
GaugeProgress:;Consideration Score:; 0.8360578; targetGaugePosition: 740.6014; Input: 0.7406014; ResponseCurve: 0.8360578;
DistanceTo:;Consideration Score:; 0.5100032; distance: 37.2632; Input: 1; ResponseCurve: 0.5100032;
Action Score (Compensation: "None"):;0

Final List of Actionscores of Bear_03:
;Actionscore;Manipulation;Result Score;Ability Name; Target
; 0.691588;0;0.691588;Paw Swipe;Flamma
; 0.5979948;0;0.5979948;Combo Attack;Flamma
; 0.5673616;0;0.5673616;Critical Attack;Flamma
; 0.3690096;0;0.3690096;Paw Swipe;Terra
; 0.3190712;0;0.3190712;Combo Attack;Terra
; 0.3027263;0;0.3027263;Critical Attack;Terra
; 0.2987196;0;0.2987196;Move;Spawnpoint_26
; 0.2969954;0;0.2969954;Move;Spawnpoint_36
; 0.2949762;0;0.2949762;Move;Spawnpoint_11
; 0.2925488;0;0.2925488;Move;Spawnpoint_10
; 0.2904015;0;0.2904015;Move;Spawnpoint_38
; 0.2881298;0;0.2881298;Move;Spawnpoint_31
; 0.2709497;0;0.2709497;Move;Spawnpoint_03
; 0.2686622;0;0.2686622;Move;Spawnpoint_33
; 0.2654868;0;0.2654868;Move;Spawnpoint_28
; 0.2627289;0;0.2627289;Move;Spawnpoint_24
; 0.2284385;0;0.2284385;Move;Spawnpoint_18
; 0.2167138;0;0.2167138;Move;Spawnpoint_27
; 0.2109193;0;0.2109193;Move;Spawnpoint_05
; 0.1814979;0;0.1814979;Move;Spawnpoint_14
; 0.154695;0;0.154695;Move;Spawnpoint_07
; 0.1464243;0;0.1464243;Move;Spawnpoint_32
; 0.1374743;0;0.1374743;Move;Spawnpoint_42
; 0.1255997;0;0.1255997;Move;Spawnpoint_37
; 0.1184922;0;0.1184922;Move;Spawnpoint_39
; 0.1108455;0;0.1108455;Move;Spawnpoint_29
; 0.1073;0;0.1073;Protect;Bear_03
; 0.08514634;0;0.08514634;Move;Spawnpoint_25
; 0.06821734;0;0.06821734;Move;Spawnpoint_23
; 0.0389519;0;0.0389519;Move;Spawnpoint_40
; 0.03654819;0;0.03654819;Move;Spawnpoint_13
; 0.02001448;0;0.02001448;Move;Spawnpoint_17
; 0.0135752;0;0.0135752;Move;Spawnpoint_34
; 0.006530149;0;0.006530149;Critical Attack;Flamma
; 0.006139343;0;0.006139343;Move;Spawnpoint_01
; 0.005565642;0;0.005565642;Paw Swipe;Flamma
; 0.002745855;0;0.002745855;Critical Attack;Terra
; 0.002340291;0;0.002340291;Paw Swipe;Terra
; 0.001234701;0;0.001234701;Move;Spawnpoint_43
; 0;0;0;Critical Attack;Aura
; 0;0;0;Paw Swipe;Aura
; 0;0;0;Paw Swipe;Aqua
; 0;0;0;Combo Attack;Aura
; 0;0;0;Combo Attack;Aqua
; 0;0;0;Paw Swipe;Aura
; 0;0;0;Critical Attack;Aura
; 0;0;0;Critical Attack;Aqua
; 0;0;0;Paw Swipe;Aqua
; 0;0;0;Critical Attack;Aqua
; 0;0;0;Move;Spawnpoint_41
; 0;0;0;Hide;Flamma
; 0;0;0;Hide;Aqua
; 0;0;0;Move;Spawnpoint_30
; 0;0;0;Move;Spawnpoint_35
; 0;0;0;Move;Spawnpoint_20
; 0;0;0;Move;Spawnpoint_06
; 0;0;0;Hide;Aura
; 0;0;0;Move;Spawnpoint_04
; 0;0;0;Move;Spawnpoint_09
; 0;0;0;Move;Spawnpoint_08
; 0;0;0;Hide;Terra

Bear_03 (used Heuristic: Best) decides for; 0.691588;Paw Swipe;Flamma


Decision Making of Participant "Bear_03" ended; at 14.07.2020 18:16:01


